ID,FUTURE_GRANT,PRIVILEGE,OBJECT_LEVEL,ROLE_LEVEL,PARENT_HIERARCHY,ORDINAL,CREATED_ROLE,CREATED_BY,CREATED_ON,UPDATED_ROLE,UPDATED_BY,UPDATED_ON
d72bfa7f-bb7a-476e-b601-df0335f93e77,TRUE,SELECT ON ALL TABLES IN,SCHEMA,RX,RWX,1,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
81c3edf8-74c7-4abe-859c-e41edf40d54e,TRUE,SELECT ON ALL VIEWS IN,SCHEMA,RX,RWX,2,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
a9cad886-e273-4198-a5f0-094ba5b97e9f,TRUE,"USAGE, READ ON ALL STAGES IN ",SCHEMA,RX,RWX,3,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
58d388a4-c47a-47cf-8f2d-cc01dea16d4e,TRUE,USAGE ON ALL FILE FORMATS IN ,SCHEMA,RX,RWX,4,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
f273c558-0a09-4eb9-94b6-e570d876f43a,TRUE,SELECT ON ALL STREAMS IN,SCHEMA,RX,RWX,5,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
f18965b4-223f-463b-88a1-94fb2a32cc94,TRUE,USAGE ON ALL FUNCTIONS IN ,SCHEMA,RX,RWX,6,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
ba5952ec-44f5-4392-a4b4-1725d6d4e4b7,TRUE,SELECT ON FUTURE TABLES IN,SCHEMA,RX,RWX,7,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
e6d74cad-1a48-43e1-8c53-93535f79778f,TRUE,SELECT ON FUTURE VIEWS IN,SCHEMA,RX,RWX,8,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
0cf820e4-202d-47f9-91bd-5b39b56562b4,TRUE,"USAGE, READ ON FUTURE STAGES IN",SCHEMA,RX,RWX,9,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
72661425-1704-4ea9-aacc-107a88fffcd3,TRUE,USAGE ON FUTURE FILE FORMATS IN,SCHEMA,RX,RWX,10,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
7430a881-4c42-4b62-bdc9-acdd894c17e7,TRUE,SELECT ON FUTURE STREAMS IN,SCHEMA,RX,RWX,11,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
c78b1621-4f18-41f7-9c0e-693bec1d3ba0,TRUE,USAGE ON FUTURE FUNCTIONS IN,SCHEMA,RX,RWX,12,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
41ae77b0-4e3c-4462-b76f-ff506ed8e96e,TRUE,"INSERT, UPDATE, DELETE, REFERENCES ON ALL TABLES IN",SCHEMA,RWX,ROOT,13,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
c6a70a23-48b9-401b-ba4b-97e5c448dec6,TRUE,CREATE MATERIALIZED VIEW ON,SCHEMA,RWX,ROOT,14,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
9b736c60-f6b7-48c6-8641-d5fe41ff40ec,TRUE,CREATE MASKING POLICY ON,SCHEMA,RWX,ROOT,15,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
fcd22550-bb7c-4c49-b2aa-93649796d4a3,TRUE,CREATE ROW ACCESS POLICY ON,SCHEMA,RWX,ROOT,16,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
08da7955-b665-47a1-adec-445969d2a2fa,TRUE,"READ, WRITE ON ALL STAGES IN",SCHEMA,RWX,ROOT,17,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
2cc7e4a3-6492-4d95-8b7a-26e7a22997a3,TRUE,USAGE ON ALL SEQUENCES IN,SCHEMA,RWX,ROOT,18,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
5262d220-e886-46ac-acfe-ade35c4b4b2c,TRUE,USAGE ON ALL PROCEDURES IN,SCHEMA,RWX,ROOT,19,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
dec72a3e-1f43-4a26-a919-1d5ee24851c4,TRUE,"MONITOR, OPERATE ON ALL TASKS IN",SCHEMA,RWX,ROOT,20,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
33ddd284-6bb4-40c1-acff-3f801f93cc5a,FALSE,CREATE TABLE ON,SCHEMA,RWX,ROOT,21,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
0ae7e8da-73a5-49d5-9b73-f20a03374b3e,FALSE,CREATE VIEW ON ,SCHEMA,RWX,ROOT,22,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
075d00c2-a44e-4936-9b02-48e26adb21ec,FALSE,CREATE FILE FORMAT ON,SCHEMA,RWX,ROOT,23,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
3283deb9-b416-442f-8ef8-23a5344c3a28,FALSE,CREATE SEQUENCE ON ,SCHEMA,RWX,ROOT,24,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
661cf426-c310-41ee-9304-401a71cf2289,FALSE,CREATE FUNCTION ON ,SCHEMA,RWX,ROOT,25,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
a9ade48c-c8a5-438b-b628-65fd8b74682b,FALSE,CREATE STREAM ON,SCHEMA,RWX,ROOT,26,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
1deab67a-ea21-4414-b1ee-4cdbe9912b38,FALSE,CREATE TASK ON ,SCHEMA,RWX,ROOT,27,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
a07d2390-9771-4533-802c-75ec275a4430,FALSE,CREATE PROCEDURE ON ,SCHEMA,RWX,ROOT,28,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
dcab645c-4bfc-4892-b7f9-912b42e3ab70,TRUE,"INSERT, UPDATE, DELETE, REFERENCES ON FUTURE TABLES IN",SCHEMA,RWX,ROOT,29,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
d32675b5-8f03-4a47-8801-caebfc29eaab,TRUE,"READ, WRITE ON FUTURE STAGES IN",SCHEMA,RWX,ROOT,30,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
7d108ad5-a9ef-4e91-8c4c-99245d7f6719,TRUE,USAGE ON FUTURE SEQUENCES IN,SCHEMA,RWX,ROOT,31,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
0b413c1e-9114-4812-a643-c557ede94437,TRUE,USAGE ON FUTURE PROCEDURES IN,SCHEMA,RWX,ROOT,32,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
fb866119-7de5-4a36-8a85-2477940bd690,TRUE,"MONITOR, OPERATE ON FUTURE TASKS IN",SCHEMA,RWX,ROOT,33,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
4047f726-6a4e-4da1-ab7c-9ae5efb1824d,TRUE,OWNERSHIP ON ALL TABLES IN,SCHEMA,ROOT,ADMIN,34,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
f69b42ba-1a74-4091-b193-be854d309dc6,TRUE,OWNERSHIP ON ALL EXTERNAL TABLES IN,SCHEMA,ROOT,ADMIN,35,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
06c59700-67f9-4c66-8b2b-9c843ef9bf86,TRUE,OWNERSHIP ON ALL VIEWS IN,SCHEMA,ROOT,ADMIN,36,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
6007c162-2dc9-4d54-8ef0-cda8af9cca48,TRUE,OWNERSHIP ON ALL MATERIALIZED VIEWS IN,SCHEMA,ROOT,ADMIN,37,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
5114f834-f2c4-4232-a478-2876257da0fb,TRUE,OWNERSHIP ON ALL STAGES IN,SCHEMA,ROOT,ADMIN,38,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
b4a51aad-8035-47f4-9d0b-f2e8a01a4970,TRUE,OWNERSHIP ON ALL FILE FORMATS IN,SCHEMA,ROOT,ADMIN,39,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
0d500640-7448-4c38-9bca-830f381765ad,TRUE,OWNERSHIP ON ALL STREAMS IN,SCHEMA,ROOT,ADMIN,40,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
d8da5d9e-f881-4979-b2b1-b766dd03795a,TRUE,OWNERSHIP ON ALL PROCEDURES IN,SCHEMA,ROOT,ADMIN,41,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
e59959af-6223-48b5-874e-e5a9b57127f9,TRUE,OWNERSHIP ON ALL FUNCTIONS IN,SCHEMA,ROOT,ADMIN,42,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
ba0659e4-8b1c-4423-9d69-031e373c5af0,TRUE,OWNERSHIP ON ALL SEQUENCES IN,SCHEMA,ROOT,ADMIN,43,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
3800abf3-90da-4002-85a9-0faf90360e48,TRUE,OWNERSHIP ON ALL TASKS IN,SCHEMA,ROOT,ADMIN,44,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
d281dc39-3d44-4488-927a-a422e668910b,FALSE,CREATE EXTERNAL TABLE ON ,SCHEMA,ROOT,ADMIN,45,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
30cb419a-40e4-470d-807e-f301009a8298,FALSE,CREATE STAGE ON,SCHEMA,ROOT,ADMIN,46,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
6c9ff23a-3452-44fd-a43c-6d29c78c3021,FALSE,CREATE PIPE ON ,SCHEMA,ROOT,ADMIN,47,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
94b6c6ec-69de-41a3-ac9b-1777947dca88,TRUE,OWNERSHIP ON FUTURE TABLES IN,SCHEMA,ROOT,ADMIN,48,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
67ff6c43-0524-49c3-b166-9d3c153793af,TRUE,OWNERSHIP ON FUTURE EXTERNAL TABLES IN,SCHEMA,ROOT,ADMIN,49,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
965ae519-8db0-4937-8285-310c9d825a54,TRUE,OWNERSHIP ON FUTURE VIEWS IN,SCHEMA,ROOT,ADMIN,50,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
740f975c-3e05-4d35-a7c0-e66a933231a5,TRUE,OWNERSHIP ON FUTURE MATERIALIZED VIEWS IN,SCHEMA,ROOT,ADMIN,51,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
e4cf7941-2ebd-4be0-8daf-a7004ec66a89,TRUE,OWNERSHIP ON FUTURE STAGES IN,SCHEMA,ROOT,ADMIN,52,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
8a311c5d-89aa-45ee-b581-d1d18ad1d0e6,TRUE,OWNERSHIP ON FUTURE FILE FORMATS IN,SCHEMA,ROOT,ADMIN,53,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
95cfc990-4563-41c1-8fb9-a23b4ed0a0a7,TRUE,OWNERSHIP ON FUTURE STREAMS IN,SCHEMA,ROOT,ADMIN,54,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
34913fd1-c8d4-4980-9f1d-fd1821f48104,TRUE,OWNERSHIP ON FUTURE PROCEDURES IN,SCHEMA,ROOT,ADMIN,55,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
e8b37366-d221-4463-8889-464b81ae072a,TRUE,OWNERSHIP ON FUTURE FUNCTIONS IN,SCHEMA,ROOT,ADMIN,56,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
c1d963e5-b35f-45d1-ad64-0721611ec4d1,TRUE,OWNERSHIP ON FUTURE SEQUENCES IN,SCHEMA,ROOT,ADMIN,57,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
c52b019c-1bbd-4d3a-b28a-0716ffb5d803,TRUE,OWNERSHIP ON FUTURE TASKS IN,SCHEMA,ROOT,ADMIN,58,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
4a01cf9e-ae61-4482-8f69-98d83c8d86aa,TRUE,CREATE SCHEMA ON,DATABASE,ADMIN,SYSADMIN,59,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
571b6120-e986-4ffa-b48d-6ea1995ace33,TRUE,MONITOR ON,DATABASE,ADMIN,SYSADMIN,60,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
8b86a860-f22b-4cfa-9b10-0636b8430772,TRUE,MODIFY ON,DATABASE,ADMIN,SYSADMIN,61,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049
c4495364-dd6c-4720-990e-3436844d84b8,TRUE,USAGE ON FUTURE SCHEMAS IN,DATABASE,ADMIN,SYSADMIN,62,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049,ACCOUNTADMIN,sebastian.hansenvega,2022-01-28 00:51:20.049